key,Source,Translated
﻿Common_Item,Items
relation_desc_5,<ShiLi_2>「Intimacy」</>
relation_desc_6,<ShiLi_4>「Little Enmity」</>
relation_desc_7,<ShiLi_4>「Trade Partners」</>
relation_desc_8,<ShiLi_4>「Grudge」</>
relation_desc_9,<ShiLi_4>[Chang Ban Zuo You]</>
relation_class_0,Retainer
relation_class_1,Shifu
relation_class_2,Dear\\nFriends
relation_class_3,Intimate\\nFriends
relation_class_4,Enmity
relation_class_5,Family\\nBloodline
task_option_relation_0,Self
task_option_relation_1,Shifu
task_option_relation_2,Dear Friends
task_option_relation_3,Intimacy
task_option_relation_4,Enmity
task_option_relation_5,Bloodline
task_option_relation_6,Retainer
punish_type_0,Deprive Kungfu
punish_type_1,Pay fines
punish_type_2,Kill
punish_type_3,Detain
female,Female
male,Male
SelfMsgBtn,Me
HearSayMsgBtn,Rumors
SecretMsgBtn,Secrets
EventMsgBtn,Events
MsgTitle,Messages
SelfMsg,Bio
MsgTimeBorn,Newborn
Secret_Msg_0,sighting
Secret_Msg_1,made up
Secret_Msg_2,Snoop
Secret_Msg_Spread,[Spread the message]
Secret_Msg_Has_Spread,[The message has been disseminated]
Combat_Type_Combat,Begin Battle
Combat_Type_QiCuo,Begin Spar
MsgDescMe,Me
MsgDescUnknown,Unknown
MsgBeTold,Be Told
MsgDesc1,Day {0} 「{1}」 sneaked into {2}
MsgDesc2,"My name is {0}. {1} is my father,and {2} my mother."
MsgDesc3,"{0} vs {1}「{2}」. After a brutal fight,{3}「{4}」."
MsgDesc4,You dug for treasure according to the clue on the treasure map. {0}
MsgDesc5,You’ve joined 「{0}」.
MsgDesc6,You’ve been promoted to 「{0}」.
MsgDesc7,You fell from a high place and got 「Leg Disability」.
MsgDesc8,Your Venom Ailment made you 「Blind」.
MsgDesc9,You and {0}’s relation became 「{1}」.
MsgDesc10,{0} consulted {1} and acquired 「{2}」.
MsgDesc11,"You met {0},{1}"
MsgDesc12,I built a {0}.
MsgDesc13,"You joined Kungfu Contest. After a brutal fight,{0}."
MsgDesc14,You returned to Karma.
MsgDesc16,My {0} has been cured.
MsgDesc17,{0} took {1}’s head.
MsgDesc18,{0} acquired Skill:{1}
MsgDesc19,{0}’s sect 「{1}」 has expanded their influence.
MsgDesc20,{0} created the sect 「{1}」.
MsgDesc21,{0} joined {1}’s sect.
MsgDesc23,Achieve cutting three corpses [Shang Corpse Worm Penghou (Desire Depression): Money reaches {0}]
MsgDesc24,Achieved to cut three corpses [Corpse in the middle of the dead (reckless action): the enmity reaches {0}]
MsgDesc25,"Achieve the three corpses [Peng Jiao, the next corpse worm (proud and extravagant): the number of people who agree with each other reaches {0}]"
MsgDesc26,You have fulfilled all the conditions for beheading three corpses
StatusNum_1,<TipGray>Current Level:{0}</>
NpcProfilePanel_1,Karma
NpcItemInfoPanel_1,Skills
NpcItemInfoPanel_2,Gear
skill_level_0,R1
skill_level_1,R2
skill_level_2,R3
weather_0,Sunny
weather_1,Rainy
weather_2,Snowy
acupoints_none,Meridian Slot
acupoints_dantian,Inner Elixir Field
acupoints_qixue,Wonderous Acupoints
acupoints_jingxue,Vertical Acupoints
acupoints_ashixue,Yes Acupoints
JingMaiPanel_BreakLink,Disconnect
JingMaiPanel_LinkBtn,Hold to connect meridians
JingMaiPanel_NeiGongDescBtn,Inner Kungfu Details
JingMaiPanel_ZhenQiTypeDescBtn,Chi Details
JingMaiPanel_HelpCure,Help Cure
JingMaiPanel_HelpCureDesc, 「I am passing in Chi」 {0}\\n{1} 「{2}」
QiXue_Desc,All Attack increased
JingXue_Desc,Max Vigor increased
AShiXue_Desc,Max Load increased
JingMaiPanel_Link, 「Connected」
JingMaiPanel_Unlink, 「Unconnected」
JingMaiPanel_ZhenQi,Chi
CurrentProp_Title,Current stats
JingMaiPanel_LifeTipsTitle,Current Health {0}. Max Health {1}
JingMaiPanel_LifeTipsDesc1,Meridians (space) represent character’s max Health.\\nAilments will damage meridians and reduce Health.
JingMaiPanel_LifeTipsDesc2,"Every Ailment will get worse by time,in various degrees.\\nWhen Health is 0,character will die."
JingMaiPanel_LifeTipsDesc3,"When clearing hidden illnesses, you need to connect all the same hidden illnesses at the same time and wait for a while before eliminating them\\nEach hidden illness requires different true qi to eliminate\\nThe more true qi, the faster the treatment speed"
JingMaiPanel_ZhenQiTipsTitle,Current Chi <JmTipOrange>{0}</> Max Chi <JmTipWhite>{1}</>
JingMaiPanel_TipsContent1,Click Inner Elixir Field to connect Meridians. Connecting (by 「Clicking」) to <JmTipWhite> 1 </> Slot will cost <JmTipWhite> 1 </> Chi.
JingMaiPanel_TipsContent2,"Connect to each acupoint from the Inner Elixir Field,and connect them back to the Inner Elixir Field. Thus you create a routine for Chi to activate acupoint effects."
JingMaiPanel_TipsContent3,"To activate Inner Kungfu skill,you need to let the Chi routine include required acupoint order."
neigong_activated,  <JmTipOrange>「Activated」</>
neigong_unactivated,  <JmTipOrange>「Unactivated」</>
neigong_cancel,  <JmTipRed>「Canceled」</>
change_acupoints,Change Acupoint
change_acupoints_cost,Consume 1 Meridian Shift Pill
change_acupoints_num, <JmTipOrange>{0}</> times
cure_npc_disease_info,You cured {0} of Ailments. Their Affinity toward you has increased. \\n{1}
disease_name_100,「Inner Injury Ailment」
disease_name_101,「Venom Ailment」
disease_name_102,「Fire Ailment」
disease_name_103,「Ice Ailment」
disease_name_104,「Hysteria」
disease_name_105,「Lampworm Ailment」
disease_name_106,「Bloodworm Ailment」
disease_name_107,「Loveworm Ailment」
disease_name_108,「Retaliation」
disease_name_109,「Blind」
disease_name_110,「Ordeal Sigil」
disease_name_111,「Hand Disability」
disease_name_112,「Leg Disability」
YinJi_ZhongShang_Desc,<JmTipRed>「Inner Injury Ailment」</><JmTipWhite> Taking DMG after Vigor drops to 0 will lead to Inner Injury Ailment</>
YinJi_JuDu_Desc,"<JmTipRed>「Venom Ailment」</><JmTipWhite> If Poison Gas takes effect multiple times,it will lead to Venom Ailment,which spreads in the meridians every 60 seconds. Too many Venom Ailments will induce 「Blind」</>"
YinJi_HuoDu_Desc,<JmTipRed>「Fire Ailment」</><JmTipWhite> Spreads in the meridians at noon every day. Fire Ailment can burn other Ailments.</>
YinJi_HanDu_Desc,"<JmTipRed>「Ice Ailment」</><JmTipWhite> If Cold takes effect 10 times,it will lead to Ice Ailment</>"
YinJi_DianKuang_Desc,<JmTipRed>「Hysteria」</><JmTipWhite> Low Spirits lead to Hysteria. Too much Hysteria may induce Deluded</>
YinJi_DengGu_Desc,"<JmTipRed>「Lampworm Ailment」</><JmTipWhite> Marks the parasitifer on the map. In most circumstances,it can only be cleansed by the caster.</>"
YinJi_XueGu_Desc,"<JmTipRed>「Bloodworm Ailment」</><JmTipWhite> When it’s triggered,steal 1 Vigor for the caster. In most circumstances,it can only be cleansed by the caster.</>"
YinJi_QingGu_Desc,"<JmTipRed>「Loveworm Ailment」</><JmTipWhite> Lures the parasitifer to have unconditional Intimacy with the caster. The parasitifer will be unable to have negative attitude toward the caster. In most circumstances,it can only be cleansed by the caster.</>"
YinJi_FanShi_Desc,<JmTipRed>「Retaliation」</><JmTipWhite> Inflicted with Retaliation after breaking through the limit of Kungfu Skills. Unable to be cleansed</>
YinJi_ShiMing_Desc,<JmTipRed>「Blind」</><JmTipWhite> Ailment of the eyes. Only hearing can be used. Unable to use Concealed Weapon Moves. Can be cured at the Clinic</>
YinJi_ShiXinShiGuFU_Desc,"<JmTipRed>「Ordeal Sigil」</><JmTipWhite> It takes effect at midnight and noon everyday,randomly creating 3 Hysteria which can’t be cleansed in general situations.</>"
YinJi_ShouCan_Desc,<JmTipRed>「Hand Disability」</><JmTipWhite>Unable to use Palm and Fist Moves. Can be cleansed at Clinic</>
YinJi_TuiCan_Desc,<JmTipRed>「Leg Disability」</><JmTipWhite> Ailment of the legs. Significantly reduces MSPD. Unable to use Kick Moves. Can be cured at the Clinic</>
BegMercyPanel_NoForgive,Teach the guy a lesson
BegMercyPanel_Forgive,Let the guy go
BegMercyPanel_NoBeg,Never give in
BegMercyPanel_Beg,Beg for mercy
ExtortionPanel_NoBeg,Never give in
ExtortionPanel_Beg,Buy your way out
BuildCreater_BaseTile,Foundation
BuildCreater_Door,Door
BuildCreater_Furniture,Facilities
BuildCreater_Wall,Window
BuildCreater_InDoor,small door
BuildCreater_Roof,Roof
BuildCreater_BaseType,Foundation Types
BuildCreater_DoorType,Gate type
BuildCreater_FurnitureType,Facility Types
BuildCreater_WallType,Window Types
BuildCreater_InDoorType,Type of small door
BuildCreater_RoofType,Roof Types
BuildCreater_CityWall,City Wall
BuildCreater_Gate,City Gate
BuildCreater_CityWallType,City Wall Types
BuildCreater_GateType,City Gate Types
BuildCreater_Previous,Next
BuildCreater_Last,Back
BuildCreater_Out,Leave
BuildCreater_Revoke,Undo
BuildCreater_Compelete,Complete Design
BuildCreater_Formula,<TipKey>Material Consumed</>
BuildCreater_ShowList,Blueprint
BuildCreater_SaveBuilding,Save Blueprint
BuildCreater_Bluepoint,Blueprint Saves
BuildCreater_ReturnBuild,Return to design
BuildCreater_Tips,<BuildTipsWhite>Press</><BuildTipsR> R</> <BuildTipsWhite> to rotate module</>
BuildCreater_RecordNull,Empty
BuildCreater_ReadRecord,Read Save
build_tile_unlock_condition,Unlock conditions:\\n{0}
BuildNameWhoS,’s
BuildNameWhoSHouse,{0}’s {1}
BuildNameMyHome,My
BuildNameInBuilding,Building
BuildNameDesolateHouse,Owned by none
BuildCreate_Rotator,Rotate Facility
BuildCreate_Cross_-1,Select Outside Decoration
BuildCreate_Cross_0,Select Floor
BuildCreate_Cross_1,Select Door
BuildCreate_Cross_2,Select Inside Decoration
BuildCreate_Cross_3,Select Window
BuildCreate_Cross_4,Select Roof
BuildCreate_Confirm_-1_0,Lift up Facility
BuildCreate_Confirm_-1_1,Put down Facility
BuildCreate_Confirm_0_0,Set Floor
BuildCreate_Confirm_0_1,Cancel setting
BuildCreate_Confirm_1,Place Door
BuildCreate_Confirm_2_0,Lift up Facility
BuildCreate_Confirm_2_1,Put down Facility
BuildCreate_Confirm_3,Place Window
BuildCreate_Confirm_Record,Confirm
BuildCreate_Cross_Record,Select Blueprint
BuildCreate_Gamepad_LeftTrigger,Adjust Camera
BuildCreate_Camera_Far,Camera Distance
BuildCreate_ChangeMode,Switch Mode
BuildCreate_CreateWall,Place Wall
BuildCreate_CreateGate,Place City Wall
BuildCreate_MoveCamera,Move Camera
BuildCreate_ChoseWall,Select City Wall
BuildCreate_ChoseGate,Select City Gate
BuildRebuild_ConfirmDesc,Rebuild resets the building to Foundation and refunds {0}. Proceed?
build_change_name_title,Change building name
build_change_name_desc,Please enter name
build_create_minju,Build house
build_create_daqi,Open up sect territory
build_create_sect,Create a sect
T_JZT_ShiBan,Stone Plate
T_JZT_LouChuang,Broken Window
T_JZT_BanWaWD,Plank Tile Roof
T_JZT_BanMen,Plank Door
T_JZT_BanMen_D,Big door
T_JZT_TongWaWD,Simple Tile Roof
T_JZT_GeShanMen,Grid Door
T_JZT_GeShanMen_D,Large Grille Door
T_JZT_ShiZhuan,Stone Brick
T_JZT_GeShanChuang,Grid Window
T_JZT_MuWaWD,Wooden Roof
T_JZT_MuMen,Wooden Door
T_JZT_MuMen_D,Big Wooden Door
T_JZT_MuBan,Wooden Plank
T_JZT_ZhuLianChuang,Bamboo Window
T_JZT_MaoCaoWuDing,Hay Roof
T_JZT_ZhaLanMen,Fence Door
T_JZT_ZhaLanMen_D,Big fence gate
T_JZT_ZhaLan,Fence
T_JZT_ZhiZhaiChuang,Removable Window
T_JZT_HongMu,Red Wood
T_JZT_ShanGeKaiChuang,Grid Casement Window
T_JZT_ShuangCengTongWa,Double Roof
T_JZT_ShuangCengMen,Double Doors
T_JZT_ShuangCengMen_D,big double doors
T_JZT_QingZhuan,Green Brick
T_JZT_QingZhuanMen,Green Brick Door
T_JZT_QingZhuanMen_D,Big Green Brick Door
T_JZT_KuanChuang,Wide Window
T_JZT_ShuangCengQingWa,Double Green Tile
T_JZT_ZhuanMu,Brick and Wood
T_JZT_LouMen,Grand Gate
T_JZT_LouMen_D,Building Door
T_JZT_GeLouChuang,Loft Window
T_JZT_GeLouWuDing,Loft Roof
T_JZT_ZhuPai,Bamboo Bundle
T_JZT_ZhuMen,Bamboo Door
T_JZT_ZhuMen_D,Big Bamboo Gate
T_JZT_ZhuChuang,Bamboo Window
T_JZT_ZhuPaiWuDing,Bamboo Bundle Roof
T_JZT_HuangTuWeiQiang,Soil Wall
T_JZT_XiaoMen,Small Door
T_JZT_ShanMen,Mountain Gate
T_JZT_MuZhuan,wooden brick
T_JZT_HeMen,close the door
T_JZT_HeMen_D,Big door
T_JZT_MuZhuanChuang,wooden brick window
T_JZT_MuZhuanWuDing,Wooden Brick Roof
Build_Deal_Confirm,Deliver Material
Build_Deal_Cancel,Quit Building
Build_Deal_Other_Item,Building\\nMaterials
carriage_deal_other_item,Carriage\\nMaterials
Btn_Name_41003,Refit Carriage
Btn_Name_41004,Tame
Btn_Name_40005,Open Backpack
Btn_Name_40006,Beg
Btn_Name_40007,Follow
Btn_Name_40008,Pause
Btn_Name_41009,Change Name
Btn_Name_41010,Feed
Btn_Name_41011,Release
Btn_Name_41012,Dismantle Carriage
delete_carriage_desc,"After dismantling,items in the carriage are returned to your Backpack. Proceed?"
MessageTitle,Tips
MessageTips,Cover the Blueprint Save?
MessageTips_2,"Resetting the Mini World will clear all the data in the world, only keep the fate, blood, cultivation father, experience progress and blessing jade!!! Do you want to continue to reset?\\n(If you want to delete a character, please use this character to enter the game, and choose the option [Returned to Karma] in the system menu.)"
MessageTips_3,"By Return to Karma,you abandon the current character and pass on Kungfu and Lineage. Proceed?"
MessageTips_4,"<MgRed>By restarting Miniworld,all content will be cleared! !! Proceed? </>"
MessageTips_5,"After deleting the data, all data will be cleared and the game will be restored to the initial state!!! Do you want to continue?"
MessageTips_ExitCombat,You lose! Admit defeat?
MessageTips_XinWu,"Take this person's head, the consequences may be very serious!"
MessageTips_Steal,"If you are caught stealing,there might be a grave consequence. Please think twice before you do so..."
MessageTips_BreakDoor,"If you are caught picking a lock,there might be a grave consequence. Please think twice before you do so..."
MessageTips_MarkHater,Marking enemy will cause changes in the relations. Mark?
MessageTips_PostStation,Move to {0} at the Stable soon. It will cost {1}. Move to zone {2}
MessageTips_PlayTogether,Do you want to play together?
MessageTips_Gan_Ji,"Thank you, the hero, for helping me complete the construction! If there is anything in the future, just look for me, I will definitely help you!"
MessageTips_Judge_Sect,Betray your sect and join theirs? You’ll pay the price for betraying your sect. Please think twice...
MessageTips_Lack_Res,No {0} resources in current Miniworld. Develop more Land Masses!
MessageTips_Deal_1,The other party profits more in this Exchange. Proceed? 
MessageTips_Deal_2,The other party profits more in this Exchange. Give them the item for free?
MessageTips_Buy_Building,"The other party is willing to pay {0} copper coins to buy your {1}, do you agree to sell it?"
Message_teleport_tips,"This function is a temporary addition to the problems that may occur in the game. If you are not stuck at this time, it is recommended that you do not use this function, otherwise you may skip many interesting settings. Do you want to continue the transfer?"
MAIL_DESC_11,{0} has delivered the item to {1}
MAIL_DESC_12,{0} is inviting you to join {1}!
MAIL_DESC_14,{0} wants to join your sect!
MAIL_DESC_15,You have violated the sect rules of this school and will be punished by the sect!
MAIL_DESC_15_0,"As the head of a sect, you actively violated the rules. Although the disciples of the sect did not say it in their mouths, in their hearts they all expressed contempt for you!"
MAIL_DESC_18,「{0}」and you are form a relationship to「{1}」
MAIL_DESC_20,"Due to {0},{1}!"
MAIL_DESC_21,"You have obtained the total income {0} money generated by the sect, and the specific contribution of the members is {1}"
MAIL_DESC_22,{0} will be released.
Confirm,Confirm
Cancel,Cancel
Confirm_1,Take! !!
Confirm_2,Pick the lock! !!
Cancel_1,Let me think
character_info_relation_desc,{0} and I are {1}
purpose_doing,{0} is doing {1}
look_like_desc,{0} seems {1}
very_weak,<ShiLi_1>「An unworthy opponent」</>
little_weak,<ShiLi_2>「Weaker than me」</>
same_level,<ShiLi_3>「On par with me」</>
little_strong,<ShiLi_4>「Formidable」</>
very_strong,<ShiLi_5>「Unfathomably powerful」</>
master_moves_desc,Master {0}
join_sect_income_desc,「Estimated sect income {0}~{1}」
Eyebrow_Name_1,Flat Eyebrows
Eyeline_Name_1,Smiling Eyes
Mouth_Name_1,Round Lip
Eyebrow_Name_2,Blade Eyebrows
Eyeline_Name_2,Golden Phoenix Eyes
Mouth_Name_2,Square Lip
Eyebrow_Name_3,Saber Eyebrows
Eyeline_Name_3,Triangle Eyes
Mouth_Name_3,Wide Lip
Eyebrow_Name_4,Luna Eyebrows
Eyeline_Name_4,Red Phoenix Eyes
Mouth_Name_4,Oval Lip
Eyebrow_Name_5,Slanting Eyebrows
Eyeline_Name_5,Long Eyes
Mouth_Name_5,Big Lips
Eyebrow_Name_6,Short Eyebrows
Eyeline_Name_6,Black Eyes
Mouth_Name_6,Long Mouth
Eyebrow_Name_7,Frowning Eyebrows
Eyeline_Name_7,Double Eyelids
Mouth_Name_7,Heavy Lower Lip
Eyebrow_Name_8,No Eyebrows
Eyeline_Name_8,Droopy Eyes
Mouth_Name_8,Pale Lips
Eyebrow_Name_9,Sloping Eyebrows
Eyeline_Name_9,Prominent Eyes
Mouth_Name_9,Smiling Lips
Eyebrow_Name_10,Thin Eyebrows
Eyeline_Name_10,Thin Eyes
Mouth_Name_10,Round Lower Lip
TeZhen_Name_1,Between Eyebrows
TeZhen_Name_2,Tattoo
TeZhen_Name_3,Nevus
Eye_Name_1,Normal Pupils
Eye_Name_2,Colorful Pupils
FaXing000,Bald
FaXing001,Hairstyle 1
FaXing002,Hairstyle 2
FaXing003,Hairstyle 3
FaXing004,Hairstyle 4
FaXing005,Hairstyle 5
FaXing006,Hairstyle 6
FaXing007,Hairstyle 7
FaXing008,Hairstyle 8
FaXing009,Hairstyle 9
FaXing010,Hairstyle 10
FaXing011,Hairstyle 11
HuZi000,No Beard
HuZi001,Beard 1
HuZi002,Beard 2
HuZi003,Beard 3
HuZi004,Beard 4
HuZi005,Beard 5
human_influence_1,Skinny
human_influence_2,Strong
human_influence_3,Hands Disability「abandoned」
human_influence_4,Leg Disability
human_influence_5,Blind
human_influence_6,Ugly Look
human_influence_7,Beautiful
human_influence_8,Venom Physique Birthmark
human_influence_9,Ice Physique Birthmark
human_influence_10,Fire Physique Birthmark
human_influence_11,Lucky Crimson Nevus
human_common_shape,Standard Shape
human_common_face,Standard Look
human_common_feature,No traits
Make_Face_Right_Title_1,Hair
Make_Face_Right_Title_2,Skin
Make_Face_Right_Title_3,Eyebrows
Make_Face_Right_Title_4,Eyes
Make_Face_Right_Title_5,Pupils
Make_Face_Right_Title_6,Lip
Make_Face_Right_Title_7,Beard
Make_Face_Left_Title_1,Shape
Make_Face_Left_Title_2,Look
Make_Face_Left_Title_3,Traits
Default_Skin,Default Skin
Make_Face_Default_Title,Affected by Karma and Parents
color_name_1,Otami
color_name_2,Wei Red
color_name_3,Moth Yellow
color_name_4,Wormwood Green
color_name_5,Shadow Green
color_name_6,Purple
color_name_7,Silver Red
color_name_8,Mountain White
color_name_9,Rosy Red
color_name_10,Crimson Yarn
color_name_11,Ride In Light
color_name_12,Everspring
color_name_13,Raven Green
color_name_14,Frozen Eve
color_name_15,Rouge
color_name_16,Persimmon
color_name_17,Purple Plum
color_name_18,Red Grass
color_name_19,Fairest
color_name_20,Sallow
color_name_21,Standard
color_name_22,Darkest
color_name_23,Rosiest
color_name_24,Darker
create_character_1,Select Parents
create_character_2,Hold to view parents details
sect_prefix_1,Millipill
sect_prefix_2,Milliherb
sect_prefix_3,Wonderpill
sect_prefix_4,Rejuvenation
sect_prefix_5,Mount Hua
sect_prefix_6,Oro
sect_prefix_7,Mount Sword
sect_prefix_8,Millisword
sect_prefix_9,Heat
sect_prefix_10,Pyro
sect_prefix_11,Fire God
sect_prefix_12,Blazeforge
sect_prefix_13,Shadow Needle
sect_prefix_14,Shadow Bamboo
sect_prefix_15,Death Shadow
sect_prefix_16,Iron Bamboo
sect_prefix_17,Wolong
sect_prefix_18,Green Dragon
sect_prefix_19,Winedrinker
sect_prefix_20,Oinos
sect_prefix_21,Soluna
sect_prefix_22,Fire Chasers
sect_prefix_23,Kuller
sect_prefix_24,Prajna
sect_prefix_25,Five-dragon
sect_prefix_26,Five-blossom
sect_prefix_27,Five-venom
sect_prefix_28,Millitoxin
sect_prefix_29,Millibeast
sect_prefix_30,Multibeast
sect_prefix_31,Kilobeast
sect_prefix_32,Spiritual Ox
sect_prefix_33,Dragon
sect_prefix_34,Fuhu
sect_prefix_35,Clean clothes
sect_prefix_36,Dirty Clothes
sect_prefix_37,Iron Clothes
sect_prefix_38,Reverse Scale
sect_prefix_39,Hundreds of battles
sect_prefix_40,Wrath
sect_prefix_41,Meditation
sect_prefix_42,Pure Land
sect_prefix_43,Consciousness only
sect_prefix_44,King Kong
sect_prefix_45,Sword pole
sect_prefix_46,Royal Sword
sect_prefix_47,Autumn Water
sect_prefix_48,Broken Moon
sect_prefix_49,moving star
sect_prefix_50,Change buckets
sect_prefix_51,Xuantian
sect_prefix_52,Chaotic Moon
sect_prefix_53,Zhenwu
sect_prefix_54,Mystery
sect_prefix_55,Wudang
sect_prefix_56,Evil Town
sect_suffix_1,Sect
sect_suffix_2,Sect
sect_suffix_3,Sect
sect_suffix_4,Cult
sect_suffix_5,Vale
sect_suffix_6,Manor
sect_suffix_7,Palace
sect_suffix_8,House
sect_suffix_9,Society
sect_join_conditions_1,Gender
sect_join_conditions_2,Abilities
sect_join_conditions_3,Reputation
sect_punish_0,Deprive Kungfu
sect_punish_1,Pay fines
sect_punish_2,Death is insufficient for the crime
sect_punish_3,Detain
sect_tax_1,Gather resources
sect_tax_2,Build houses
sect_join,Join
sect_info,Sect Info
sect_tips,Sect Tips
sect_join_tips,You joined 「{0}」
sect_quit_tips,You left 「{0}」
sect_select_message,Leave 「{0}」 and join 「{1}」?
SectPanel_1,Reputation
SectPanel_2,Sect
SectPanel_3,Sect rules
SectPanel_4,Position
SectPanel_5,Authority
SectPanel_6,Relationship
SectPanel_7,My task
SectPanel_8,Release commission
SectPanel_9,Issue orders
SectPanel_Info_1,Name
SectPanel_Info_2,Master
SectPanel_Info_3,Members
SectPanel_Info_4,Influence
SectPanel_Info_5,Sect Fund
SectPanel_Info_6,Sect good name
SectPanel_Info_7,Sect Infamy
SectPanel_Info_8,Create Sect 「{0} coins」
SectPanel_Info_9,Leave Sect
SectPanel_Info_area,Sect Region
SectPanel_Rule_1,Entry Requirements
SectPanel_Rule_2,Sect Taboos
SectPanel_Rule_3,Tax Rules
SectPanel_Rule_4,Sect Skill
SectPanel_Rule_5,Sect Inner Kungfu
SectPanel_Task_1,Claim Quest
SectPanel_Task_2,Urgent Quests
SectPanel_Task_3,Long-term Quests
SectPanel_Task_4,New Quests
SectPanel_Task_5,Add Executor
SectCreatePanel_1,Create Sect
SectCreatePanel_2,Name Sect
SectPanel_ExitSect_Tips,Leave {0}?
SectPanel_Post_Rule,"[Challenging a person with a higher position or completing the entrusted task of a person in the sect can increase the prestige of the sect. When the prestige meets the requirements of the next position, you can find the leader for job promotion evaluation]\\n[Only challenge the same person every day once]"
post_name_21,head
post_name_20,elder
post_name_19,Inner Disciple
post_name_18,Outer disciples
taboo_name_1,Infighting
taboo_name_2,Negative Attitude
taboo_name_3,Traitor of the Sect
taboo_name_4,Filthy Thief
taboo_name_5,Brutal Killer
SectPanel_Post_1,{0} Reputation {1}
SectPanel_Post_2,Elders
SectPanel_Post_3,Indoor Disciples
SectPanel_Post_4,Outdoor Disciples
job_money_level_name_1,Monthly example. 300 gold
job_money_level_name_2,Monthly example. 500 gold
job_money_level_name_3,Monthly example. 800 gold
job_money_level_name_4,Monthly example. 1000 gold
job_money_level_name_5,Monthly example. 1200 gold
job_money_level_name_6,Monthly example. 1500 gold
permission_level_name_1,Master
permission_level_name_2,Master. Elder
permission_level_name_3,Master. Elder. Indoor Disciple
permission_level_name_4,All
function_permission_name_1,Make Sect Rules
function_permission_name_2,Manage Position
function_permission_name_3,Set Quest
function_permission_name_4,Manage Warehouse
function_permission_name_5,Execute Rules
function_permission_name_6,Manage Jail
function_permission_name_7,Manage Facilities
function_permission_name_8,Recruit Disciples
meeting_title,Sect Council
meeting_start,Sect Council:Pending
meeting_title_punish,Sect Council:Punishment
meeting_title_salary,Sect Council:Salary Release
meeting_btn_next,Turn Off
meeting_btn_confirm,Join In
meeting_btn_finish,Complete Council
meeting_tip_none_punishment,No offenders
meeting_tip_start,Sect Council is pending
meeting_fund,Warehouse Finance:{0} Silver {1} Coins
punishment_level_name_0,No punishment
punishment_level_name_1,Death is insufficient for the crime
punishment_level_name_2,Deprive Kungfu
punishment_level_name_3,3-day detention
punishment_level_name_4,Deduct salary
salary_level_name_0,Not to release
salary_level_name_1,Release as usual
salary_level_name_2,Double salary
salary_content_1,Sect Salary released. You’ve got {0}.
salary_content_2,Insufficient finance. Your Salary has been deducted.
delete_relation_content,{0} decides to end {1} with you! !!
title_name_1,「Champion」
origin_identity_0,「refugee」
origin_identity_1,「Stable Manager」
origin_identity_2,「Spring Manager」
origin_identity_3,「artisan」
origin_identity_4,「Music House Manager」
origin_identity_5,「bartender」
origin_identity_6,「blacksmith」
origin_identity_7,「Doctor」
origin_identity_8,「Weaver」
origin_identity_9,「Bandit」
origin_identity_10,「woodcutter」
origin_identity_11,「farmer」
origin_identity_12,「miner」
origin_identity_13,「Orion」
origin_identity_14,「fisherman」
origin_identity_15,「bodyguard」
origin_identity_16,「trainer」
origin_identity_17,「beggar」
origin_identity_18,「{0} outer disciple」
origin_identity_19,「{0} inner disciple」
origin_identity_20,「{0} elder」
origin_identity_21,「{0} head」
origin_identity_22,「Champion」
origin_identity_23,「Servant」
origin_identity_24,「mystery」
identity_animal,「wild animals」
identity_animal_be_master,「{0}'s pet」
atti_name_100,Salute
atti_name_101,Grateful
atti_name_102,Trust
atti_name_104,Sympathy
atti_name_106,Admire
atti_name_107,Worship
atti_name_108,Guilty
atti_name_200,Jealous
atti_name_201,Suspicion
atti_name_202,Despise
atti_name_203,Hatred
atti_name_204,Scared
atti_name_205,Dislike
atti_name_300,Desireless
atti_name_301,Shock
atti_name_302,Sadness
atti_name_303,acquaintance
Attitude_type_0,positive attitude
Attitude_type_1,negative attitude
Attitude_type_2,neutral attitude
GameQuitPanel_1,Save before you exit game?
GameQuitPanel_2,Yes
GameQuitPanel_3,No
learn_build,Acquire Buildings
GameOverPanel_1,Returned to Karma
GameOverPanel_2,You’ve survived {0} days in this world.
GameOverPanel_3,"「{0}{1}」,you were killed by {2}<JmTipOrange>「{3}」</>."
GameOverPanel_4,Restart Karma
Big_Gate,Big Door
Small_Gate,Small Door
Attitude_Source_Desc_0,<AttiSource>Battle</>
Attitude_Source_Desc_1,<AttiSource>Battle</>
Attitude_Source_Desc_2,<AttiSource>Sneak detected</>
Attitude_Source_Desc_3,<AttiSource>Stained:Massacre</>
Attitude_Source_Desc_4,<AttiSource>Loot</>
Attitude_Source_Desc_5,<AttiSource>Lockpicking</>
Attitude_Source_Desc_6,<AttiSource>Misdeed</>
Attitude_Source_Desc_7,<AttiSource>Ignite</>
Attitude_Source_Desc_8,<AttiSource>Drunk</>
Attitude_Source_Desc_9,<AttiSource>Beg</>
Attitude_Source_Desc_10,<AttiSource>Poison</>
Attitude_Source_Desc_11,<AttiSource>Commission completed</>
Attitude_Source_Desc_12,<AttiSource>Commission unfinished</>
Attitude_Source_Desc_13,<AttiSource>Benefited from Exchange</>
Attitude_Source_Desc_14,<AttiSource>Loss in Exchange</>
Attitude_Source_Desc_15,<AttiSource>Qin Skill:Naive</>
Attitude_Source_Desc_16,<AttiSource>Qin Skill:Beginner</>
